student_country,days_on_platform,minutes_watched,courses_started,practice_exams_started,practice_exams_passed,minutes_spent_on_exams,purchased
IN,171,2.3,1,0,0,0,0
KE,171,43.6,1,0,0,0,0
IN,171,0.1,1,0,0,0,0
US,171,105.4,2,0,0,0,0
US,171,2.9,1,0,0,0,0
IN,171,0.6,1,0,0,0,0
CA,171,45.7,1,0,0,0,0
GB,171,45.5,1,0,0,0,0
PH,171,0.2,1,0,0,0,0
US,171,12.5,1,0,0,0,0
US,171,1.2,1,0,0,0,0
IN,171,101.5,2,0,0,0,0
IN,171,20,2,0,0,0,0
US,170,71,1,0,0,0,0
VN,170,7.5,1,0,0,0,0
MA,170,1.2,1,0,0,0,0
PY,170,20.1,1,0,0,0,0
EG,170,0.5,1,0,0,0,0
CA,170,38.5,1,0,0,0,0
EG,170,14.6,1,0,0,0,0
US,0,21.3,1,0,0,0,1
CA,170,6.5,2,0,0,0,0
ES,170,0.6,1,0,0,0,0
US,170,12.5,1,0,0,0,0
IN,170,4.8,1,0,0,0,0
VN,170,15.9,1,0,0,0,0
US,170,0.7,1,0,0,0,0
EG,170,0.1,1,0,0,0,0
GB,170,43.7,1,0,0,0,0
US,170,5.4,1,0,0,0,0
ID,170,0.9,1,0,0,0,0
PL,170,10.2,1,0,0,0,0
IN,170,39.6,1,0,0,0,0
EG,170,1,1,0,0,0,0
ID,170,0.1,1,0,0,0,0
AZ,170,0.2,1,0,0,0,0
EG,170,0.7,1,0,0,0,0
SA,170,0.8,1,0,0,0,0
EG,170,0.8,1,0,0,0,0
BG,170,0.7,1,0,0,0,0
NG,170,19.1,1,0,0,0,0
GB,170,46.2,1,0,0,0,0
NG,170,6.7,1,0,0,0,0
NL,0,5.8,1,0,0,0,1
ID,170,26.7,1,0,0,0,0
EG,170,1.1,1,0,0,0,0
IN,170,0.1,1,0,0,0,0
US,170,4.6,1,0,0,0,0
NG,170,18.5,1,0,0,0,0
GB,170,1,1,0,0,0,0
IN,0,147,1,0,0,0,1
LK,170,2.6,1,0,0,0,0
US,170,52.7,1,0,0,0,0
IN,170,22.6,1,0,0,0,0
AU,170,3.1,1,0,0,0,0
US,170,366.1,4,0,0,0,0
KE,170,43.5,1,0,0,0,0
ZA,170,23.9,1,0,0,0,0
US,170,31.2,1,0,0,0,0
IN,170,43.3,1,0,0,0,0
BR,170,20.9,1,0,0,0,0
BE,170,1.6,1,0,0,0,0
EG,170,3.9,1,0,0,0,0
BG,170,127.9,2,0,0,0,0
AU,170,0.6,1,0,0,0,0
EG,170,25.9,1,0,0,0,0
NG,170,5.8,1,0,0,0,0
TR,169,0.1,1,0,0,0,0
US,169,1.3,1,0,0,0,0
US,169,0.1,1,0,0,0,0
US,6,37,1,0,0,0,1
LK,169,1.2,1,0,0,0,0
IN,169,1,1,0,0,0,0
US,169,6.6,1,0,0,0,0
IN,169,71.6,1,0,0,0,0
ID,169,6.6,1,0,0,0,0
US,169,24.3,1,0,0,0,0
IN,169,3.7,1,0,0,0,0
LK,169,66.3,1,0,0,0,0
IN,169,5.9,1,0,0,0,0
US,169,7.5,1,0,0,0,0
ZA,169,17.5,1,0,0,0,0
SA,169,4.3,1,0,0,0,0
IE,45,66.9,1,0,0,0,1
IT,169,3,1,0,0,0,0
IN,169,7.8,1,0,0,0,0
NG,169,46.3,1,0,0,0,0
GB,169,19.1,1,0,0,0,0
DE,169,0.3,1,0,0,0,0
GB,169,2.4,1,0,0,0,0
KE,169,97.2,1,0,0,0,0
US,169,71.7,3,0,0,0,0
US,169,25.3,1,0,0,0,0
IN,169,6.1,1,0,0,0,0
AU,169,0.6,1,0,0,0,0
US,169,8.9,1,0,0,0,0
FR,169,11.8,1,0,0,0,0
BD,169,6.2,1,0,0,0,0
CZ,169,0.4,1,0,0,0,0
TR,169,5.4,1,0,0,0,0
IN,169,0.3,1,0,0,0,0
IN,169,0.7,1,0,0,0,0
NG,169,18.3,1,0,0,0,0
ZA,169,0.2,1,0,0,0,0
GB,169,0.4,1,0,0,0,0
BE,169,43.6,1,0,0,0,0
US,0,60.9,1,0,0,0,1
ZA,169,38.7,2,0,0,0,0
US,169,9.7,1,0,0,0,0
IN,4,204,2,0,0,0,1
GB,169,1.2,1,0,0,0,0
US,169,0.3,1,0,0,0,0
IN,169,0.2,1,0,0,0,0
MA,169,3.3,1,0,0,0,0
EG,169,1,1,0,0,0,0
BB,169,9.6,1,0,0,0,0
EG,169,3.2,1,0,0,0,0
AU,169,8,1,0,0,0,0
US,168,20.7,1,0,0,0,0
US,168,20,1,0,0,0,0
US,168,17.5,1,0,0,0,0
US,3,78.5,1,0,0,0,1
IN,168,16.5,1,0,0,0,0
MY,168,43.1,2,0,0,0,0
NG,168,6.9,1,0,0,0,0
IN,168,46.2,2,0,0,0,0
IN,168,0.2,1,0,0,0,0
IN,168,58.8,1,0,0,0,0
AZ,168,327.1,1,0,0,0,0
SA,168,2.2,2,0,0,0,0
GB,40,115.7,3,0,0,0,1
GB,168,6.9,1,0,0,0,0
TZ,168,0.8,1,0,0,0,0
CI,168,32.8,1,0,0,0,0
US,168,4.3,1,0,0,0,0
RU,168,45.5,1,0,0,0,0
NG,168,0.6,1,0,0,0,0
IN,168,0.4,1,0,0,0,0
AU,168,2.8,1,0,0,0,0
MD,168,330.4,2,0,0,0,0
CA,4,39.5,2,0,0,0,1
US,0,48.7,1,0,0,0,1
AE,168,4.1,2,0,0,0,0
NG,168,2.5,1,0,0,0,0
US,8,111.4,1,0,0,0,1
CA,7,42.3,2,0,0,0,1
US,168,17.7,1,0,0,0,0
US,168,43.3,1,0,0,0,0
NG,168,1.1,1,0,0,0,0
CA,168,10.4,1,0,0,0,0
US,168,19.6,1,0,0,0,0
IN,168,0.5,1,0,0,0,0
IL,168,1.5,1,0,0,0,0
SE,168,1.2,1,0,0,0,0
CA,168,76.3,1,0,0,0,0
FR,168,0.1,1,0,0,0,0
EG,168,0.6,1,0,0,0,0
US,168,20.6,1,0,0,0,0
US,168,2.2,1,0,0,0,0
EG,168,4.7,1,0,0,0,0
EG,168,2.6,1,0,0,0,0
US,167,128.3,2,0,0,0,0
US,0,45.6,1,0,0,0,1
US,167,68.4,1,0,0,0,0
PH,167,16.9,1,0,0,0,0
SA,167,10.9,1,0,0,0,0
NG,167,44.5,1,0,0,0,0
US,5,99.3,1,0,0,0,1
US,1,107.4,2,0,0,0,1
IN,167,19,1,0,0,0,0
FR,0,14.1,1,0,0,0,1
AU,167,33.6,1,0,0,0,0
EG,167,2.2,1,0,0,0,0
GB,0,73.8,1,0,0,0,1
IN,167,43.9,1,0,0,0,0
EG,167,0.3,1,0,0,0,0
IN,167,6.4,1,0,0,0,0
ID,167,6.8,1,0,0,0,0
AU,167,23.5,1,0,0,0,0
ZA,167,1.4,1,0,0,0,0
EG,167,2.7,1,0,0,0,0
NG,167,6.6,1,0,0,0,0
LT,167,0.4,1,0,0,0,0
EG,167,1.2,1,0,0,0,0
MD,167,14,1,0,0,0,0
DE,167,6.2,1,0,0,0,0
IN,167,43.1,2,0,0,0,0
TN,167,3.9,1,0,0,0,0
IN,167,50.9,2,0,0,0,0
GB,167,4.8,1,0,0,0,0
US,167,4.9,1,0,0,0,0
ES,167,1.2,1,0,0,0,0
IN,167,0.7,1,0,0,0,0
US,1,60.4,1,0,0,0,1
IN,167,0.5,1,0,0,0,0
IN,167,0.9,1,0,0,0,0
ES,167,11.1,1,0,0,0,0
FR,167,1,1,0,0,0,0
US,167,19,1,0,0,0,0
IT,167,0.5,1,0,0,0,0
EG,167,2.4,1,0,0,0,0
GB,167,2.2,1,0,0,0,0
DE,167,9.4,1,0,0,0,0
PL,167,3.2,1,0,0,0,0
US,6,143.3,1,0,0,0,1
GH,167,7.7,1,0,0,0,0
MA,166,47,1,0,0,0,0
TH,7,39.4,2,0,0,0,1
IN,166,109.7,3,0,0,0,0
US,166,0.7,1,0,0,0,0
IN,166,10.3,2,0,0,0,0
BD,166,10.7,1,0,0,0,0
NG,166,7.4,1,0,0,0,0
IN,166,12.5,1,0,0,0,0
PK,166,11.7,1,0,0,0,0
SE,166,60.5,1,0,0,0,0
DZ,166,10.9,1,0,0,0,0
IN,166,4.3,1,0,0,0,0
IN,166,1,1,0,0,0,0
US,166,2.2,2,0,0,0,0
ID,166,117.7,3,0,0,0,0
GB,166,0.7,1,0,0,0,0
IN,166,7.2,1,0,0,0,0
AM,166,0.1,1,0,0,0,0
EG,166,19.4,1,0,0,0,0
EG,166,127,2,0,0,0,0
RO,166,2.8,2,0,0,0,0
NG,166,17.6,1,0,0,0,0
US,0,22.4,1,0,0,0,1
RU,1,13.3,1,0,0,0,1
GR,97,53.6,2,0,0,0,1
EG,166,4.9,1,0,0,0,0
EG,166,0.5,1,0,0,0,0
US,81,25.9,1,0,0,0,1
US,166,104.9,1,0,0,0,0
EG,165,24.4,1,0,0,0,0
EG,165,2.2,1,0,0,0,0
VN,165,5.4,1,0,0,0,0
EG,165,2.4,1,0,0,0,0
EG,165,7.2,1,0,0,0,0
EC,165,1.2,1,0,0,0,0
IN,165,3.1,1,0,0,0,0
SG,165,18.6,1,0,0,0,0
US,165,25.8,1,0,0,0,0
PH,165,135.3,1,0,0,0,0
ID,165,7,1,0,0,0,0
IN,165,5.7,1,0,0,0,0
IN,165,21.7,1,0,0,0,0
GB,71,81.7,2,0,0,0,1
PL,165,4.8,2,0,0,0,0
IN,0,23.2,1,0,0,0,1
IN,165,0.5,2,0,0,0,0
GB,165,9.1,1,0,0,0,0
GB,165,67.4,2,0,0,0,0
NG,165,0.5,1,0,0,0,0
VE,165,40.3,1,0,0,0,0
AU,165,46,1,0,0,0,0
IN,165,0.5,1,0,0,0,0
IN,165,50.9,1,0,0,0,0
GB,165,77.7,1,0,0,0,0
NP,165,48.1,1,0,0,0,0
IN,165,0.7,1,0,0,0,0
EG,165,0.4,1,0,0,0,0
IN,165,0.8,1,0,0,0,0
IN,165,76.7,3,0,0,0,0
GB,165,1.9,1,0,0,0,0
US,165,5.1,1,0,0,0,0
US,165,29.1,1,0,0,0,0
HK,165,2.3,1,0,0,0,0
US,165,2.3,1,0,0,0,0
MX,165,4.8,1,0,0,0,0
GB,165,1.1,1,0,0,0,0
US,165,9.5,1,0,0,0,0
US,165,36.3,1,0,0,0,0
GB,165,81.1,1,0,0,0,0
US,165,11.6,1,0,0,0,0
PL,165,0.7,1,0,0,0,0
EG,165,89.2,1,0,0,0,0
CA,165,0.6,1,0,0,0,0
EG,165,0.5,1,0,0,0,0
IN,165,49.7,1,0,0,0,0
ZA,165,2.8,1,0,0,0,0
FR,165,0.2,1,0,0,0,0
NG,165,5,1,0,0,0,0
GB,165,19.4,1,0,0,0,0
US,165,37,1,0,0,0,0
IN,165,0.1,1,0,0,0,0
MX,165,10.4,1,0,0,0,0
NG,165,0.4,1,0,0,0,0
CA,0,41.3,1,0,0,0,1
US,165,74.3,1,0,0,0,0
EG,165,5.9,2,0,0,0,0
EG,165,2.1,1,0,0,0,0
DE,165,6.2,1,0,0,0,0
MD,164,6.2,1,0,0,0,0
US,164,1,1,0,0,0,0
AU,164,44.5,1,0,0,0,0
CA,6,151.6,1,0,0,0,1
EG,164,4.1,1,0,0,0,0
US,164,18.4,1,0,0,0,0
US,164,0.2,1,0,0,0,0
CA,164,0.5,1,0,0,0,0
EG,164,41.5,1,0,0,0,0
SE,164,7.1,1,0,0,0,0
FI,164,0.5,1,0,0,0,0
MY,164,190.6,2,0,0,0,0
NG,164,0.6,1,0,0,0,0
IN,164,56.5,2,0,0,0,0
IN,164,106.9,1,0,0,0,0
NG,164,1.2,1,0,0,0,0
SG,164,5.1,1,0,0,0,0
NG,164,48,1,0,0,0,0
FR,164,4.6,1,0,0,0,0
JP,164,37.5,1,0,0,0,0
QA,164,0.2,1,0,0,0,0
DE,164,54.5,1,0,0,0,0
EG,164,49.7,1,0,0,0,0
VN,164,13.2,1,0,0,0,0
MA,164,13.9,1,0,0,0,0
NG,164,1.2,1,0,0,0,0
PK,164,3.1,1,0,0,0,0
US,164,5.6,1,0,0,0,0
EG,164,40,4,0,0,0,0
FR,164,0.9,1,0,0,0,0
IL,164,31.7,1,0,0,0,0
IN,164,0.6,1,0,0,0,0
ZA,164,8.3,1,0,0,0,0
NG,164,1,1,0,0,0,0
BR,164,10.4,1,0,0,0,0
US,164,44.5,1,0,0,0,0
TJ,164,2,1,0,0,0,0
US,164,8.3,1,0,0,0,0
US,164,24.7,1,0,0,0,0
FR,164,0.1,1,0,0,0,0
IN,164,11.5,1,0,0,0,0
US,11,32.9,1,0,0,0,1
US,164,34.8,1,0,0,0,0
CA,164,4.9,1,0,0,0,0
CA,164,6.2,2,0,0,0,0
DZ,164,1.4,1,0,0,0,0
PL,164,4.8,1,0,0,0,0
PT,164,13.3,1,0,0,0,0
US,163,1,1,0,0,0,0
US,163,37.6,1,0,0,0,0
US,163,31,1,0,0,0,0
US,163,1.4,1,0,0,0,0
IN,163,0.3,1,0,0,0,0
IN,163,77.8,1,0,0,0,0
NZ,163,36.9,1,0,0,0,0
NG,163,7.4,1,0,0,0,0
IN,163,4.4,1,0,0,0,0
SA,163,24.7,1,0,0,0,0
FR,0,89.2,1,0,0,0,1
IN,163,1.3,1,0,0,0,0
ES,163,0.1,1,0,0,0,0
JO,163,0.1,1,0,0,0,0
NG,163,1.9,1,0,0,0,0
UG,163,72.3,2,0,0,0,0
ES,163,1.4,1,0,0,0,0
RU,163,82.7,1,0,0,0,0
NG,163,13.2,1,0,0,0,0
NG,163,117.5,1,0,0,0,0
NG,163,19.4,1,0,0,0,0
GB,163,106.4,3,0,0,0,0
NG,163,76.2,2,0,0,0,0
IN,163,0.1,1,0,0,0,0
NG,163,7.9,1,0,0,0,0
SG,1,1.7,1,0,0,0,1
ID,163,0.1,1,0,0,0,0
CA,163,1.3,1,0,0,0,0
KZ,163,1.3,1,0,0,0,0
EG,163,1.2,1,0,0,0,0
IN,163,1.8,1,0,0,0,0
NG,163,41.3,1,0,0,0,0
IT,133,42.9,1,0,0,0,1
IN,163,1,1,0,0,0,0
EG,163,0.1,1,0,0,0,0
BD,163,1.3,2,0,0,0,0
GB,163,50.1,1,0,0,0,0
CA,163,66,1,0,0,0,0
IN,163,57.5,1,0,0,0,0
US,163,2.2,1,0,0,0,0
GB,163,0.3,1,0,0,0,0
US,163,444.2,5,0,0,0,0
US,163,18.6,1,0,0,0,0
TR,163,4.1,3,0,0,0,0
US,163,1,1,0,0,0,0
NG,163,51.8,1,0,0,0,0
TZ,163,0.7,1,0,0,0,0
NG,163,79.3,2,0,0,0,0
SA,163,1.4,1,0,0,0,0
BE,163,0.6,1,0,0,0,0
CA,163,0.6,1,0,0,0,0
SA,163,28.8,1,0,0,0,0
MA,163,19,1,0,0,0,0
BR,8,41.9,1,0,0,0,1
US,163,3.6,1,0,0,0,0
GB,162,0.2,1,0,0,0,0
EG,162,3.1,1,0,0,0,0
ID,162,1.4,1,0,0,0,0
MA,162,0.5,1,0,0,0,0
ID,162,0.6,1,0,0,0,0
US,162,0.7,1,0,0,0,0
PK,162,9.4,1,0,0,0,0
IN,162,1.1,1,0,0,0,0
US,162,8,1,0,0,0,0
IN,162,0.1,1,0,0,0,0
IN,162,61.2,2,0,0,0,0
US,162,0.6,1,0,0,0,0
EG,162,0.6,1,0,0,0,0
NG,162,4.1,1,0,0,0,0
GB,162,32.1,1,0,0,0,0
EG,162,0.3,1,0,0,0,0
IN,162,21.8,1,0,0,0,0
DE,162,2.9,1,0,0,0,0
MT,162,0.3,1,0,0,0,0
AU,162,266.1,4,0,0,0,0
IN,162,49.7,1,0,0,0,0
IN,162,0.1,1,0,0,0,0
NG,162,0.7,1,0,0,0,0
KE,162,20,3,0,0,0,0
US,162,0.8,1,0,0,0,0
IT,162,19.5,1,0,0,0,0
CI,162,1.1,1,0,0,0,0
IN,162,18.5,1,0,0,0,0
IN,162,11,1,0,0,0,0
IN,162,28.6,1,0,0,0,0
TG,162,8.9,1,0,0,0,0
DO,162,0.6,1,0,0,0,0
ZM,162,7.7,1,0,0,0,0
KR,162,1,1,0,0,0,0
KE,162,513.2,8,0,0,0,0
US,162,0.1,1,0,0,0,0
MY,162,61.3,1,0,0,0,0
IN,162,3.1,1,0,0,0,0
BD,162,35.1,1,0,0,0,0
NG,162,8.3,1,0,0,0,0
BR,162,0.1,1,0,0,0,0
IN,162,1.9,2,0,0,0,0
CA,162,0.6,1,0,0,0,0
IT,162,0.9,1,0,0,0,0
US,162,44.6,1,0,0,0,0
NG,162,6.6,1,0,0,0,0
TR,162,6.6,1,0,0,0,0
CA,162,0.4,1,0,0,0,0
PT,162,0.3,1,0,0,0,0
MX,162,46,1,0,0,0,0
NG,162,4,1,0,0,0,0
US,162,0.1,1,0,0,0,0
MX,162,1,1,0,0,0,0
EG,162,7.5,1,0,0,0,0
US,162,46.6,1,0,0,0,0
TN,162,0.1,1,0,0,0,0
ZA,161,10.8,1,0,0,0,0
MX,161,24.5,1,0,0,0,0
US,0,6.3,1,0,0,0,1
AU,161,1,1,0,0,0,0
VN,161,22.2,1,0,0,0,0
US,161,39.3,1,0,0,0,0
IN,161,10.7,1,0,0,0,0
US,161,4.1,1,0,0,0,0
NP,161,17,1,0,0,0,0
HK,161,0.5,1,0,0,0,0
IN,161,0.1,1,0,0,0,0
NG,161,44.9,1,0,0,0,0
IN,161,1.7,1,0,0,0,0
DE,161,110.9,1,0,0,0,0
IN,161,0.6,1,0,0,0,0
US,161,39.7,1,0,0,0,0
BG,161,0.3,1,0,0,0,0
KE,0,112.6,1,0,0,0,1
NL,161,18,1,0,0,0,0
IN,161,0.2,1,0,0,0,0
NL,161,7,1,0,0,0,0
AE,161,0.5,1,0,0,0,0
IN,161,0.9,1,0,0,0,0
KH,161,19.7,3,0,0,0,0
IN,161,0.4,1,0,0,0,0
SE,0,58.5,1,0,0,0,1
IN,161,78.5,3,0,0,0,0
IN,161,43.7,1,0,0,0,0
BD,161,3,1,0,0,0,0
KW,161,43.7,1,0,0,0,0
GB,161,45.4,2,0,0,0,0
LK,161,13.3,1,0,0,0,0
MA,161,7.6,1,0,0,0,0
NL,161,6.1,3,0,0,0,0
US,161,0.1,1,0,0,0,0
ID,161,0.1,1,0,0,0,0
US,161,1.7,1,0,0,0,0
EG,161,10.6,1,0,0,0,0
NG,161,0.5,2,0,0,0,0
GB,161,7.4,1,0,0,0,0
US,161,0.2,1,0,0,0,0
IN,161,0.1,1,0,0,0,0
CZ,161,0.5,1,0,0,0,0
CO,161,3.5,1,0,0,0,0
BE,161,0.5,1,0,0,0,0
US,161,4,1,0,0,0,0
IN,161,89.2,1,0,0,0,0
BD,161,57.4,2,0,0,0,0
NG,161,0.3,1,0,0,0,0
EG,80,36.9,1,0,0,0,1
US,161,17.3,1,0,0,0,0
GB,161,3.3,1,0,0,0,0
PT,161,0.4,1,0,0,0,0
DE,161,1.5,1,0,0,0,0
DE,161,1.3,1,0,0,0,0
BE,161,1.8,1,0,0,0,0
CA,161,116.4,1,0,0,0,0
CA,161,8.5,1,0,0,0,0
NG,160,0.6,1,0,0,0,0
US,160,0.9,1,0,0,0,0
BR,160,63.4,1,0,0,0,0
US,160,0.1,1,0,0,0,0
IN,160,7.4,1,0,0,0,0
AE,160,3.3,1,0,0,0,0
IN,160,10.9,1,0,0,0,0
GB,160,3.3,1,0,0,0,0
IN,160,14.4,1,0,0,0,0
PK,160,75.9,3,0,0,0,0
LK,160,47.4,1,0,0,0,0
NL,160,0.2,1,0,0,0,0
NG,160,1.3,1,0,0,0,0
NG,160,6,1,0,0,0,0
BY,160,0.1,1,0,0,0,0
NG,160,34,1,0,0,0,0
NG,160,50.2,1,0,0,0,0
MY,160,0.1,1,0,0,0,0
IN,160,3.6,1,0,0,0,0
AE,160,1.4,1,0,0,0,0
IT,160,297.7,1,0,0,0,0
PK,160,2.6,1,0,0,0,0
IN,160,1.2,1,0,0,0,0
NP,160,5,1,0,0,0,0
KW,160,3.2,1,0,0,0,0
EG,160,0.6,1,0,0,0,0
CA,160,340.3,4,0,0,0,0
US,160,18.5,1,0,0,0,0
NG,160,1.8,1,0,0,0,0
BR,160,1,1,0,0,0,0
US,160,8,1,0,0,0,0
GE,160,15.1,2,0,0,0,0
US,160,10,1,0,0,0,0
NG,160,64.9,2,0,0,0,0
EG,160,36.4,1,0,0,0,0
NG,160,48.8,1,0,0,0,0
IN,160,26.2,2,0,0,0,0
BR,0,13.8,1,0,0,0,1
US,4,107.9,1,0,0,0,1
DE,160,1.7,1,0,0,0,0
BR,3,44.8,1,0,0,0,1
CI,160,1.9,1,0,0,0,0
TJ,160,12.4,1,0,0,0,0
IN,160,4.7,1,0,0,0,0
IN,160,5.2,1,0,0,0,0
CA,31,84.7,2,0,0,0,1
US,160,12.3,1,0,0,0,0
NG,160,78.7,2,0,0,0,0
GB,159,1.8,2,0,0,0,0
US,159,36.7,1,0,0,0,0
EG,159,83.9,2,0,0,0,0
PH,159,2.3,2,0,0,0,0
ID,159,0.3,1,0,0,0,0
IN,159,1.8,1,0,0,0,0
IN,159,3.2,1,0,0,0,0
US,159,27.4,1,0,0,0,0
IN,159,0.5,1,0,0,0,0
US,159,1.9,1,0,0,0,0
PK,159,11.6,1,0,0,0,0
IN,159,0.2,1,0,0,0,0
IN,159,0.1,1,0,0,0,0
IT,159,1.2,1,0,0,0,0
IN,159,96.8,2,0,0,0,0
EG,159,6.5,1,0,0,0,0
EG,159,0.8,1,0,0,0,0
IN,159,6.1,2,0,0,0,0
IN,159,6.4,1,0,0,0,0
NG,159,1.5,2,0,0,0,0
MZ,159,19.1,1,0,0,0,0
PT,159,11.2,1,0,0,0,0
SD,159,5.9,2,0,0,0,0
EG,159,63.7,1,0,0,0,0
US,16,1.3,1,0,0,0,1
EG,159,1.2,1,0,0,0,0
US,159,22.9,1,0,0,0,0
IN,159,0.9,1,0,0,0,0
FI,159,0.9,1,0,0,0,0
EG,159,35.2,1,0,0,0,0
US,1,28.5,2,0,0,0,1
US,159,12,3,0,0,0,0
US,159,0.2,1,0,0,0,0
IN,159,0.8,1,0,0,0,0
US,159,7.8,1,0,0,0,0
US,159,1.4,1,0,0,0,0
HU,159,18.4,1,0,0,0,0
TR,159,1.1,1,0,0,0,0
MX,159,0.2,1,0,0,0,0
HU,159,0.2,1,0,0,0,0
GB,159,44.3,1,0,0,0,0
PA,159,51.4,1,0,0,0,0
US,159,17.5,1,0,0,0,0
IN,159,0.2,1,0,0,0,0
DO,159,4.9,1,0,0,0,0
AU,158,4.7,1,0,0,0,0
US,158,0.2,1,0,0,0,0
IN,158,4.6,1,0,0,0,0
NG,158,34.6,1,0,0,0,0
ZW,158,94.1,1,0,0,0,0
IN,158,1.5,1,0,0,0,0
BD,158,61.4,2,0,0,0,0
PK,15,39.4,1,0,0,0,1
US,6,9.3,1,0,0,0,1
IN,158,108.8,4,0,0,0,0
BD,158,1.4,1,0,0,0,0
TW,158,1.7,1,0,0,0,0
NL,158,0.2,1,0,0,0,0
KR,0,26.6,1,0,0,0,1
IN,158,0.1,1,0,0,0,0
NZ,158,4.1,1,0,0,0,0
TR,158,0.1,1,0,0,0,0
MA,158,2.4,1,0,0,0,0
IN,158,11.5,1,0,0,0,0
IN,158,45.3,1,0,0,0,0
ES,158,1.4,1,0,0,0,0
IN,158,0.4,1,0,0,0,0
EG,158,2.6,1,0,0,0,0
IN,158,6.2,1,0,0,0,0
US,158,6.4,3,0,0,0,0
BE,158,19,1,0,0,0,0
CA,158,0.7,1,0,0,0,0
BR,158,0.2,1,0,0,0,0
US,0,7.1,1,0,0,0,1
IN,158,2.1,2,0,0,0,0
BR,158,1.9,1,0,0,0,0
MA,158,0.7,1,0,0,0,0
BD,158,4.7,1,0,0,0,0
FR,158,6.8,1,0,0,0,0
IN,158,0.5,1,0,0,0,0
US,0,33.9,1,0,0,0,1
EG,158,0.8,1,0,0,0,0
GB,158,82.4,1,0,0,0,0
EG,158,0.1,1,0,0,0,0
NG,158,4,1,0,0,0,0
US,158,0.4,1,0,0,0,0
KE,158,0.2,1,0,0,0,0
NZ,4,50.7,1,0,0,0,1
IN,157,26.6,1,0,0,0,0
PK,157,19.2,1,0,0,0,0
IE,157,0.1,1,0,0,0,0
BD,157,25.6,1,0,0,0,0
US,157,5.2,1,0,0,0,0
IN,157,18.7,1,0,0,0,0
US,157,5.9,1,0,0,0,0
AU,14,71,2,0,0,0,1
PG,157,7.7,1,0,0,0,0
AU,157,48.6,1,0,0,0,0
ID,157,261.7,6,0,0,0,0
SE,157,7.7,1,0,0,0,0
AU,157,13.7,1,0,0,0,0
IN,157,0.1,1,0,0,0,0
ES,157,1,1,0,0,0,0
AZ,157,1.4,1,0,0,0,0
US,157,17,1,0,0,0,0
US,157,35.4,1,0,0,0,0
IN,157,43,1,0,0,0,0
SG,9,208,3,0,0,0,1
NP,157,4.9,1,0,0,0,0
BR,157,1.2,1,0,0,0,0
US,157,34.5,1,0,0,0,0
TW,157,6.8,1,0,0,0,0
IN,157,2.6,1,0,0,0,0
IN,157,1.2,1,0,0,0,0
GB,157,0.4,1,0,0,0,0
US,157,18.9,1,0,0,0,0
US,157,47.9,1,0,0,0,0
EG,157,2.8,1,0,0,0,0
JM,157,19,1,0,0,0,0
US,1,194.7,1,0,0,0,1
IN,157,9.9,1,0,0,0,0
CA,0,120.3,1,0,0,0,1
CA,0,125.9,1,0,0,0,1
US,0,1.4,1,0,0,0,1
BR,157,1.5,1,0,0,0,0
BR,157,9.1,1,0,0,0,0
EG,157,0.9,1,0,0,0,0
KE,157,1.8,1,0,0,0,0
MX,157,6.5,1,0,0,0,0
PL,157,0.1,1,0,0,0,0
DZ,157,2,1,0,0,0,0
US,157,0.1,1,0,0,0,0
NL,157,0.1,1,0,0,0,0
NG,157,38.2,1,0,0,0,0
US,157,6,1,0,0,0,0
US,157,1.1,1,0,0,0,0
CA,156,282.4,3,0,0,0,0
IN,156,31.7,1,0,0,0,0
US,156,54.3,1,0,0,0,0
US,156,24.7,1,0,0,0,0
AU,156,8.4,1,0,0,0,0
NP,156,3.3,1,0,0,0,0
IN,1,49.7,2,0,0,0,1
BG,156,4.9,1,0,0,0,0
RS,156,22.4,1,0,0,0,0
IN,156,4.3,1,0,0,0,0
IN,156,3.9,1,0,0,0,0
IN,156,7.2,1,0,0,0,0
AE,156,6.6,1,0,0,0,0
ES,156,11,1,0,0,0,0
US,156,9.5,1,0,0,0,0
ID,156,41.6,1,0,0,0,0
ID,156,0.2,1,0,0,0,0
MX,156,46.1,1,0,0,0,0
US,156,19.3,1,0,0,0,0
BR,156,25.3,1,0,0,0,0
NG,156,2.1,2,0,0,0,0
US,0,29.3,1,0,0,0,1
FR,156,1.2,2,0,0,0,0
CO,156,0.1,1,0,0,0,0
US,156,97,1,0,0,0,0
US,156,7.8,2,0,0,0,0
US,1,69.5,1,0,0,0,1
US,12,74.9,1,0,0,0,1
MA,155,2.6,1,0,0,0,0
VN,155,4.6,1,0,0,0,0
US,155,11.9,1,0,0,0,0
BR,155,11.4,1,0,0,0,0
IN,155,0.6,1,0,0,0,0
PK,155,0.3,1,0,0,0,0
AU,155,15.4,1,0,0,0,0
IN,155,16.9,1,0,0,0,0
DE,155,29.1,1,0,0,0,0
ZA,155,23.4,2,0,0,0,0
AU,155,6.6,1,0,0,0,0
IN,155,1,1,0,0,0,0
NG,155,39.2,2,0,0,0,0
IN,155,6.6,1,0,0,0,0
US,155,18.9,1,0,0,0,0
PK,155,0.1,1,0,0,0,0
ZA,155,5.5,1,0,0,0,0
PH,155,5.1,1,0,0,0,0
EG,155,27.8,1,0,0,0,0
IN,155,0.6,1,0,0,0,0
BD,155,7.7,1,0,0,0,0
IN,155,16.6,1,0,0,0,0
EG,155,9.2,1,0,0,0,0
NG,155,14,1,0,0,0,0
